152.25,320.26,223.18,169.06
390.71,959.08,657.62,457.73
704.75,1925.8,1308.2,859.58
1082.8,3215.8,2167.8,1371.4
1526.9,4819.4,3234,1999.6
2028.9,6730.8,4494.5,2722.5
2589.9,8931.1,5935.6,3538.5
3204.6,11433,7562.8,4434.6
3861.7,14248,9387.4,5410.3
4557.5,17367,11406,6463.9
5293.8,20791,13622,7601.3
6079.7,24486,16003,8809.6
6903.9,28480,18567,10096
7763.6,32774,21316,11458
8677.7,37370,24257,12912
9631,42272,27392,14458
10612,47466,30703,16069
11620,52953,34197,17748
12643,58725,37859,19486
13699,64807,41721,21307
14791,71181,45766,23198
15916,77875,50015,25182
17069,84865,54451,27245
18262,92138,59057,29379
19474,99724,63861,31590
20704,1.0762e+05,68860,33876
21967,1.1582e+05,74054,36252
23245,1.2434e+05,79455,38712
24535,1.3319e+05,85068,41257
25834,1.4234e+05,90870,43883
27165,1.518e+05,96878,46608
28506,1.6158e+05,1.031e+05,49419
29870,1.7169e+05,1.0952e+05,52330
31260,1.821e+05,1.1614e+05,55327
32685,1.9279e+05,1.2294e+05,58404
34127,2.0381e+05,1.2995e+05,61562
35592,2.1514e+05,1.3714e+05,64801
37075,2.2678e+05,1.4455e+05,68122
38579,2.3873e+05,1.5214e+05,71524
40131,2.51e+05,1.5996e+05,75038
41703,2.6356e+05,1.6794e+05,78616
43290,2.7641e+05,1.761e+05,82265
44900,2.8957e+05,1.8446e+05,85995
46529,3.0305e+05,1.9304e+05,89812
48167,3.1682e+05,2.0177e+05,93687
49830,3.3088e+05,2.107e+05,97650
51515,3.4524e+05,2.1982e+05,1.0168e+05
53224,3.599e+05,2.2912e+05,1.0581e+05
54951,3.7486e+05,2.3862e+05,1.1001e+05
56686,3.9013e+05,2.483e+05,1.1428e+05
