0,1.5455e+05
1,91004
2,1.0344e+05
3,2.1871e+05
4,1.3632e+05
5,1.6708e+05
6,1.8882e+05
7,2.28e+05
8,1.2078e+05
9,1.5814e+05
10,1.0303e+05
11,1.7959e+05
12,1.5457e+05
13,1.6716e+05
14,1.3909e+05
15,2.3845e+05
16,1.6093e+05
17,2.0992e+05
18,1.9503e+05
19,2.1937e+05
20,2.4852e+05
21,2.0096e+05
22,2.1982e+05
23,2.3109e+05
24,2.4097e+05
25,2.2890e+05
26,2.3023e+05
27,2.443e+05
28,2.2095e+05
29,2.4188e+05
30,2.2934e+05
31,2.3835e+05
32,2.2253e+05
33,1.8034e+05
34,2.799e+05
35,2.4308e+05
36,2.6405e+05
37,2.7631e+05
38,2.2081e+05
39,2.3472e+05
40,2.4012e+05
41,2.58e+05
42,1.6531e+05
43,2.8996e+05
44,2.3523e+05
45,1.9065e+05
46,2.3491e+05
47,2.8081e+05
48,2.4202e+05
49,2.4368e+05
